League,Player Link,Player,Position,Age,Country,Join,Market Value,Club,Year
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marcelo-cirino/profil/spieler/114514,Marcelo Cirino,Right Winger,29.0,Brazil,284.0,2.2,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/maxtm/profil/spieler/876343,Max,Attacking Midfield,20.0,Brazil,284.0,0.0,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/walter-kannemann/profil/spieler/145400,Walter Kannemann,Centre-Back,30.0,Argentina,2177.0,4.0,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/caio-paulista/profil/spieler/601011,Caio Paulista,Left-Back,23.0,Brazil,293.0,1.5,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marcelo-lomba/profil/spieler/53015,Marcelo Lomba,Goalkeeper,34.0,Brazil,2177.0,1.3,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rene-junior/profil/spieler/137726,Rene Junior,Central Midfield,31.0,Brazil,294.0,0.4,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gabriel-santos/profil/spieler/662033,Gabriel Santos,Left Winger,22.0,Brazil,295.0,0.025,Ceara Sporting Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ryan/profil/spieler/964596,Ryan,Centre-Back,18.0,Brazil,181.0,0.0,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/eugenio-isnaldo/profil/spieler/260801,Eugenio Isnaldo,Left Winger,27.0,Argentina,297.0,1.5,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/maicon/profil/spieler/50047,Maicon,Central Midfield,35.0,Brazil,305.0,0.4,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/diego/profil/spieler/4248,Diego,Attacking Midfield,36.0,Brazil,2173.0,1.3,CR Flamengo,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jhon-arias/profil/spieler/588989,Jhon Arias,Left Winger,23.0,Colombia,317.0,1.0,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jandrei/profil/spieler/512344,Jandrei,Goalkeeper,28.0,Brazil,312.0,1.0,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/moises/profil/spieler/368468,Moises,Left-Back,26.0,Brazil,158.0,1.1,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marlon-lopes/profil/spieler/443721,Marlon Lopes,Left-Back,27.0,Brazil,158.0,0.05,America Futebol Clube (MG),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/pedro-martins/profil/spieler/866884,Pedro Martins,Defensive Midfield,21.0,Brazil,158.0,0.0,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/matheus-jussa/profil/spieler/347909,Matheus Jussa,Defensive Midfield,25.0,Brazil,161.0,0.5,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/helinho/profil/spieler/412365,Helinho,Right Winger,21.0,Brazil,163.0,4.0,Red Bull Bragantino,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rafael-forster/profil/spieler/104590,Rafael Forster,Centre-Back,30.0,Brazil,163.0,0.85,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/eric-ramires/profil/spieler/614328,Eric Ramires,Central Midfield,20.0,Brazil,163.0,3.0,Red Bull Bragantino,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/echapora/profil/spieler/688896,Echapora,Left Winger,21.0,Brazil,168.0,0.0,Clube Atletico Mineiro,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/thiago-maia/profil/spieler/294873,Thiago Maia,Defensive Midfield,24.0,Brazil,170.0,3.0,CR Flamengo,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luizao/profil/spieler/518723,Luizao,Defensive Midfield,23.0,Brazil,311.0,0.7,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/caio/profil/spieler/963727,Caio,Left Winger,17.0,Brazil,181.0,0.0,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/michel-custodio/profil/spieler/677679,Michel Custodio,Centre-Back,20.0,Brazil,181.0,0.05,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/pablo-maia/profil/spieler/892089,Pablo Maia,Defensive Midfield,19.0,Brazil,181.0,0.0,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luan-candido/profil/spieler/432166,Luan Candido,Left-Back,20.0,Brazil,181.0,3.5,Red Bull Bragantino,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/arthur-henrique/profil/spieler/349737,Arthur Henrique,Left-Back,27.0,Brazil,181.0,0.475,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/baralhas/profil/spieler/552242,Baralhas,Central Midfield,22.0,Brazil,181.0,0.1,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gabriel-noga/profil/spieler/627215,Gabriel Noga,Centre-Back,19.0,Brazil,181.0,2.0,CR Flamengo,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/juan/profil/spieler/662332,Juan,Centre-Forward,19.0,Brazil,181.0,0.5,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/anderson-paixao/profil/spieler/598974,Anderson Paixao,Goalkeeper,23.0,Brazil,181.0,0.2,Club Athletico Paranaense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/elias-manoel/profil/spieler/813044,Elias Manoel,Centre-Forward,19.0,Brazil,181.0,1.0,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/nicolas-castillo/profil/spieler/145602,Nicolas Castillo,Centre-Forward,28.0,Chile,309.0,2.0,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/roger-guedes/profil/spieler/348263,Roger Guedes,Left Winger,24.0,Brazil,308.0,9.0,Sport Club Corinthians Paulista,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/pedro-lucas/profil/spieler/718208,Pedro Lucas,Attacking Midfield,18.0,Brazil,181.0,1.5,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rickson/profil/spieler/529609,Rickson,Defensive Midfield,23.0,Brazil,306.0,0.3,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gustavo-maia/profil/spieler/752560,Gustavo Maia,Left Winger,20.0,Brazil,305.0,2.0,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/emiliano-velazquez/profil/spieler/189458,Emiliano Velazquez,Centre-Back,27.0,Uruguay,305.0,1.0,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marcio-azevedo/profil/spieler/55484,Marcio Azevedo,Left-Back,35.0,Brazil,1438.0,0.6,Club Athletico Paranaense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/mauro-zarate/profil/spieler/26456,Mauro Zarate,Centre-Forward,34.0,Argentina,305.0,1.0,America Futebol Clube (MG),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/edinho/profil/spieler/353279,Edinho,Attacking Midfield,26.0,Brazil,365.0,0.475,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/valentin-depietri/profil/spieler/697056,Valentin Depietri,Left Winger,20.0,Argentina,365.0,0.575,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/maycon-douglas/profil/spieler/554061,Maycon Douglas,Right Winger,24.0,Brazil,429.0,0.4,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/thiago-lopes/profil/spieler/393835,Thiago Lopes,Central Midfield,24.0,Brazil,463.0,0.45,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/santiago-trellez/profil/spieler/142216,Santiago Trellez,Centre-Forward,31.0,Colombia,462.0,0.7,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/wellington-nem/profil/spieler/121988,Wellington Nem,Right Winger,29.0,Brazil,462.0,0.8,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/yan-sasse/profil/spieler/469136,Yan Sasse,Attacking Midfield,24.0,Brazil,458.0,0.5,America Futebol Clube (MG),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/matheus-jesus/profil/spieler/435331,Matheus Jesus,Central Midfield,24.0,Brazil,457.0,0.95,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/thiago-santos/profil/spieler/346922,Thiago Santos,Defensive Midfield,31.0,Brazil,456.0,1.2,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/clayson/profil/spieler/392809,Clayson,Left Winger,26.0,Brazil,456.0,0.9,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rafael-bretas/profil/spieler/982338,Rafael Bretas,Goalkeeper,20.0,Brazil,456.0,0.0,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jonas/profil/spieler/346870,Jonas,Defensive Midfield,29.0,Brazil,452.0,0.275,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/martin-benitez/profil/spieler/189418,Martin Benitez,Attacking Midfield,27.0,Argentina,451.0,4.0,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/bruno-nazario/profil/spieler/250010,Bruno Nazario,Attacking Midfield,26.0,Brazil,450.0,0.8,America Futebol Clube (MG),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/everton-ribeiro/profil/spieler/52896,Everton Ribeiro,Attacking Midfield,32.0,Brazil,1827.0,8.0,CR Flamengo,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/sander/profil/spieler/353722,Sander,Left-Back,30.0,Brazil,1852.0,0.65,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/pepe/profil/spieler/520662,Pepe,Left Winger,24.0,Brazil,1887.0,13.0,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/matheus-galdezani/profil/spieler/378975,Matheus Galdezani,Central Midfield,29.0,Brazil,464.0,0.8,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/oscar-ruiz/profil/spieler/336390,Oscar Ruiz,Left Midfield,30.0,Paraguay,449.0,0.5,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/laercio/profil/spieler/525518,Laercio,Centre-Back,28.0,Brazil,449.0,0.4,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/victor-cuesta/profil/spieler/104326,Victor Cuesta,Centre-Back,32.0,Argentina,1947.0,4.0,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/juninho/profil/spieler/271187,Juninho,Defensive Midfield,33.0,Brazil,1971.0,0.75,America Futebol Clube (MG),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ronald/profil/spieler/688684,Ronald,Defensive Midfield,24.0,Brazil,448.0,0.4,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rene/profil/spieler/212209,Rene,Left-Back,28.0,Brazil,1976.0,1.5,CR Flamengo,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/manoel/profil/spieler/113586,Manoel,Centre-Back,31.0,Brazil,443.0,0.55,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/matheus-babi/profil/spieler/788861,Matheus Babi,Centre-Forward,23.0,Brazil,443.0,2.0,Club Athletico Paranaense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/caio-mota/profil/spieler/884363,Caio Mota,Centre-Forward,19.0,Brazil,442.0,0.05,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/lucas-fonseca/profil/spieler/203060,Lucas Fonseca,Centre-Back,35.0,Brazil,2310.0,0.45,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marcinho/profil/spieler/432967,Marcinho,Right-Back,25.0,Brazil,441.0,1.0,Club Athletico Paranaense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/thonny-anderson/profil/spieler/561214,Thonny Anderson,Attacking Midfield,23.0,Brazil,441.0,1.6,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/taison/profil/spieler/76028,Taison,Left Winger,33.0,Brazil,441.0,7.0,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/raul-bobadilla/profil/spieler/51356,Raul Bobadilla,Centre-Forward,34.0,Paraguay,438.0,0.4,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ze-welison/profil/spieler/323452,Ze Welison,Defensive Midfield,26.0,Brazil,438.0,0.65,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luan/profil/spieler/178984,Luan,Centre-Back,28.0,Brazil,1916.0,3.0,Sociedade Esportiva Palmeiras,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luiz-felipe/profil/spieler/373150,Luiz Felipe,Centre-Back,27.0,Brazil,2324.0,0.4,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/fernando-miguel/profil/spieler/291963,Fernando Miguel,Goalkeeper,36.0,Brazil,464.0,0.65,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ravanelli/profil/spieler/390370,Ravanelli,Attacking Midfield,23.0,Brazil,464.0,1.5,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/robson/profil/spieler/161188,Robson,Centre-Forward,30.0,Brazil,485.0,0.85,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/uillian-correia/profil/spieler/257057,Uillian Correia,Defensive Midfield,31.0,Brazil,485.0,0.6,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/guilherme-castilho/profil/spieler/726005,Guilherme Castilho,Central Midfield,21.0,Brazil,485.0,0.6,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/osman/profil/spieler/373194,Osman,Left Winger,28.0,Brazil,485.0,0.325,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/andre-lima/profil/spieler/740299,Andre Lima,Defensive Midfield,21.0,Brazil,483.0,0.1,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jael/profil/spieler/80815,Jael,Centre-Forward,32.0,Brazil,483.0,0.45,Ceara Sporting Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/igor-torres/profil/spieler/823291,Igor Torres,Centre-Forward,21.0,Brazil,483.0,0.025,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/samuel-xavier/profil/spieler/198250,Samuel Xavier,Right-Back,31.0,Brazil,483.0,0.75,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/wellington/profil/spieler/74789,Wellington,Defensive Midfield,30.0,Brazil,483.0,1.1,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/matheus-oliveira/profil/spieler/484874,Matheus Oliveira,Right Winger,23.0,Brazil,480.0,0.05,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marllon/profil/spieler/166032,Marllon,Centre-Back,29.0,Brazil,480.0,0.5,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/miranda/profil/spieler/33357,Miranda,Centre-Back,36.0,Brazil,480.0,1.0,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marcos-felipe/profil/spieler/283166,Marcos Felipe,Goalkeeper,25.0,Brazil,1826.0,1.0,Fluminense Football Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/jackson/profil/spieler/193135,Jackson,Centre-Back,31.0,Brazil,479.0,0.6,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/luis-orejuela/profil/spieler/331057,Luis Orejuela,Right-Back,25.0,Colombia,477.0,1.7,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/kaio-nunes/profil/spieler/592342,Kaio Nunes,Left Winger,25.0,Brazil,476.0,0.3,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/rafael-luiz/profil/spieler/738409,Rafael Luiz,Right-Back,19.0,Brazil,476.0,0.05,Red Bull Bragantino,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/lima/profil/spieler/387611,Lima,Attacking Midfield,25.0,Brazil,464.0,1.1,Ceara Sporting Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/uendel/profil/spieler/74747,Uendel,Left-Back,32.0,Brazil,466.0,0.8,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/german-conti/profil/spieler/284321,German Conti,Centre-Back,27.0,Argentina,469.0,2.5,Esporte Clube Bahia,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ribamar/profil/spieler/423839,Ribamar,Centre-Forward,24.0,Brazil,469.0,0.6,America Futebol Clube (MG),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/betinho/profil/spieler/237851,Betinho,Defensive Midfield,29.0,Brazil,469.0,0.6,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/caique-franca/profil/spieler/408850,Caique Franca,Goalkeeper,26.0,Brazil,2342.0,0.25,Sport Club Corinthians Paulista,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/leo-santos/profil/spieler/351894,Leo Santos,Centre-Back,22.0,Brazil,2007.0,2.0,Sport Club Corinthians Paulista,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/neilton/profil/spieler/264284,Neilton,Right Winger,27.0,Brazil,469.0,1.0,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/daniel-guedes/profil/spieler/330035,Daniel Guedes,Right-Back,27.0,Brazil,470.0,0.55,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gabriel-dias/profil/spieler/336474,Gabriel Dias,Right-Back,27.0,Brazil,471.0,0.75,Ceara Sporting Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gustavo-blanco/profil/spieler/374855,Gustavo Blanco,Central Midfield,26.0,Brazil,471.0,0.75,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/paulao/profil/spieler/128855,Paulao,Centre-Back,35.0,Brazil,471.0,0.4,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/nathan-silva/profil/spieler/440652,Nathan Silva,Centre-Back,24.0,Brazil,473.0,0.6,Atletico Clube Goianiense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/weverson/profil/spieler/412367,Weverson,Left-Back,20.0,Brazil,476.0,0.5,Red Bull Bragantino,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/geuvanio/profil/spieler/177009,Geuvanio,Right Winger,29.0,Brazil,469.0,1.1,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/everaldo/profil/spieler/388397,Everaldo,Left Winger,27.0,Brazil,427.0,0.8,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/henrique-almeida/profil/spieler/103743,Henrique Almeida,Centre-Forward,30.0,Brazil,298.0,0.5,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/juan-manuel-cuesta/profil/spieler/660840,Juan Manuel Cuesta,Attacking Midfield,19.0,Colombia,424.0,0.35,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/moraes/profil/spieler/596586,Moraes,Left-Back,23.0,Brazil,399.0,0.3,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/talison/profil/spieler/704430,Talison,Right-Back,21.0,Brazil,426.0,0.05,Clube Atletico Mineiro,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/lucas-cardoso/profil/spieler/931076,Lucas Cardoso,Attacking Midfield,20.0,Brazil,395.0,0.0,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/matheus-peixoto/profil/spieler/518361,Matheus Peixoto,Centre-Forward,25.0,Brazil,395.0,0.7,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/danilo-boza/profil/spieler/606136,Danilo Boza,Centre-Back,23.0,Brazil,392.0,0.15,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/pedro-vilhena/profil/spieler/729263,Pedro Vilhena,Attacking Midfield,19.0,Brazil,-232.0,0.25,Sao Paulo Futebol Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gustavo-nescau/profil/spieler/874287,Gustavo Nescau,Centre-Forward,21.0,Brazil,387.0,0.0,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/leo-gomes/profil/spieler/347016,Leo Gomes,Right-Back,25.0,Brazil,1992.0,1.5,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/didi/profil/spieler/379687,Didi,Centre-Back,30.0,Brazil,387.0,0.1,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/william-matheus/profil/spieler/75058,William Matheus,Left-Back,31.0,Brazil,382.0,0.8,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/willian-bigode/profil/spieler/55338,Willian Bigode,Centre-Forward,34.0,Brazil,1997.0,1.2,Sociedade Esportiva Palmeiras,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/paulinho-boia/profil/spieler/544895,Paulinho Boia,Left Winger,23.0,Brazil,381.0,1.0,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/alison/profil/spieler/167825,Alison,Defensive Midfield,28.0,Brazil,-224.0,2.0,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/cristiano/profil/spieler/729284,Cristiano,Right Winger,19.0,Brazil,373.0,0.0,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/italo/profil/spieler/795305,Italo,Defensive Midfield,19.0,Brazil,-184.0,0.025,Sport Club do Recife,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/calebe/profil/spieler/798114,Calebe,Attacking Midfield,21.0,Brazil,366.0,0.8,Clube Atletico Mineiro,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/daniel/profil/spieler/530421,Daniel,Goalkeeper,27.0,Brazil,2006.0,0.05,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/perotti/profil/spieler/432959,Perotti,Centre-Forward,23.0,Brazil,2006.0,1.0,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/marcelo-boeck/profil/spieler/27346,Marcelo Boeck,Goalkeeper,36.0,Brazil,2007.0,0.2,Fortaleza Esporte Clube,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/ze-ivaldo/profil/spieler/484848,Ze Ivaldo,Centre-Back,24.0,Brazil,2007.0,0.75,Club Athletico Paranaense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/hiago/profil/spieler/436747,Hiago,Centre-Back,23.0,Brazil,2007.0,0.05,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/moises-ribeiro/profil/spieler/227986,Moises Ribeiro,Defensive Midfield,30.0,Brazil,2007.0,0.3,Associacao Chapecoense de Futebol,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/arthur-gomes/profil/spieler/401534,Arthur Gomes,Left Winger,22.0,Brazil,2007.0,1.8,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/lucas-evangelista/profil/spieler/270188,Lucas Evangelista,Central Midfield,26.0,Brazil,365.0,2.5,Red Bull Bragantino,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/raphael-veiga/profil/spieler/432953,Raphael Veiga,Attacking Midfield,26.0,Brazil,2007.0,4.5,Sociedade Esportiva Palmeiras,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/gabriel-batista/profil/spieler/401535,Gabriel Batista,Goalkeeper,23.0,Brazil,2007.0,0.5,CR Flamengo,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/sabino/profil/spieler/546033,Sabino,Centre-Back,24.0,Brazil,2007.0,0.95,Santos ,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/thiago-heleno/profil/spieler/45431,Thiago Heleno,Centre-Back,32.0,Brazil,1988.0,1.6,Club Athletico Paranaense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/wendson/profil/spieler/870488,Wendson,Centre-Forward,23.0,Brazil,399.0,0.0,Ceara Sporting Club,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/vinicius-mello/profil/spieler/815677,Vinicius Mello,Centre-Forward,18.0,Brazil,395.0,0.0,Sport Club Internacional,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/bruninho/profil/spieler/584083,Bruninho,Attacking Midfield,21.0,Brazil,399.0,0.5,Esporte Clube Juventude,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/victor-ferraz/profil/spieler/153905,Victor Ferraz,Right-Back,33.0,Brazil,912.0,1.0,Gremio Foot-Ball Porto Alegrense,2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/joaquim/profil/spieler/860857,Joaquim,Centre-Back,22.0,Brazil,420.0,0.1,Cuiaba Esporte Clube (MT),2021
Campeonato Brasileiro Série A,https://www.transfermarkt.co.uk/danilo-fernandes/profil/spieler/99439,Danilo Fernandes,Goalkeeper,33.0,Brazil,2240.0,0.75,Sport Club Internacional,2021
