,Outlet,Agent,League,Position,Age,Country,Join,Market Value,Outcome
459,The Sun,Relatives,Premier League,Attacker,21.0,England,1096.0,9.0,False
460,Insider,Unknown,Eredivisie,Attacker,19.0,England,699.0,16.0,False
462,The Athletic,Relatives,LaLiga,Attacker,34.0,Argentina,6209.0,80.0,True
463,Star,HCM Sports ...,Premier League,Midfielder,24.0,Netherlands,667.0,30.0,False
465,L'Equipe,Gestifute,Ligue 1,Midfielder,23.0,Portugal,1043.0,30.0,False
466,90 Min,Rafaela Pimenta,Premier League,Midfielder,28.0,France,2152.0,60.0,True
469,The Sun,Unknown,Premier League,Midfielder,31.0,England,2922.0,4.0,False
471,Calcio M.,Wasserman,Eredivisie,Midfielder,25.0,Netherlands,1461.0,16.0,True
474,The Athletic,Relatives,Premier League,Attacker,26.0,England,2544.0,90.0,False
475,Mail,CAA Stellar,Premier League,Attacker,31.0,Wales,650.0,18.0,False
479,Mail,Unknown,Premier League,Defender,20.0,England,1096.0,10.0,False
480,Mail,CAA Stellar,Premier League,Defender,34.0,Wales,3073.0,1.0,True
481,Star,AC Talent,LaLiga,Defender,27.0,France,2178.0,8.0,False
496,Insider,Gestifute,Premier League,Attacker,25.0,Spain,1423.0,30.0,False
497,The Athletic,Goal Management,Premier League,Defender,26.0,Spain,2922.0,25.0,False
498,The Athletic,HCM Sports ...,Serie A,Defender,31.0,Sweden,1438.0,3.0,True
499,Star,Rafaela Pimenta,Premier League,Midfielder,28.0,France,2152.0,60.0,False
505,Mundo D.,Wasserman,LaLiga,Defender,26.0,France,1450.0,25.0,False
507,Mirror,CAA Base Ltd,Bundesliga,Attacker,25.0,France,1826.0,65.0,False
509,The Sun,CK66,Premier League,Attacker,27.0,England,4199.0,120.0,False
510,L'Equipe,CAA Stellar,Ligue 1,Midfielder,18.0,France,1277.0,55.0,True
511,Insider,ROOF,Premier League,Attacker,23.0,England,1826.0,38.0,False
513,Sport,ESN,LaLiga,Defender,22.0,France,1094.0,60.0,False
519,90 Min,LIAN Sports Group,Serie A,Defender,30.0,Senegal,2922.0,48.0,False
522,The Sun,Unique Sports Group,Premier League,Attacker,24.0,Wales,1461.0,17.0,False
